Site ID,Location Description,Speed Limit,Reason Code(s),Latitude,Longitude,Geo Location,Location Assessment
4310,WB 132 Ave btwn 74 - 76 St,30,Designated Zone - Playground;,53.59224177,-113.45669214,"(53.59224177324022, -113.45669213611916)",https://drive.google.com/file/d/1fNfbxr08WOSsfuSo9qk8PSs4nxxXggnX/view?usp=drivesdk
4241,WB 140 Ave Btwn 88 A - 93 St,30,Designated Zone - Playground;,53.60284240,-113.48015801,"(53.60284240057778, -113.48015800811534)",https://drive.google.com/file/d/1hn8WP4wK-nlgv9kUxpZ0lSHX-9820U_7/view?usp=drivesdk
7064,SB Groat Rd btwn S of 107 Ave-Victoria Pk Rd,50,Higher Frequency of Speeding; Higher Frequency of Collisions;,53.54560465,-113.54278674,"(53.54560465011122, -113.54278674378979)",https://drive.google.com/file/d/1PazfAvGhKSpBjI9xLLJLGG4N5NuV2d0Z/view?usp=drivesdk
7271,WB 95 Ave between 158 - 160 St,50,Higher Frequency of Speeding;,53.53155624,-113.59557878,"(53.531556239424575, -113.59557877680032)",https://drive.google.com/file/d/1QNnR-llw5zvvouRk0beFCjDcSNLxKcFa/view?usp=drivesdk
2577,EB 144 Ave between 94 - 92 St,50,Higher Frequency of Speeding;,53.60603596,-113.48378929,"(53.606035961748006, -113.48378929265664)",https://drive.google.com/file/d/1mHEI-AaM2FPpfcAqUpC_g7_vwnJzWS9M/view?usp=drivesdk
7085,NB Gateway Blvd - South of Anthony Henday Dr.,90,Higher Frequency of Speeding; Higher Frequency of Collisions;,53.43486002,-113.49002456,"(53.43486002146605, -113.49002456009515)",https://drive.google.com/file/d/1-Ik-C4wWdZ7nQLZccSc7Ai55_L9BxtvJ/view?usp=drivesdk
4260,SB 118 St S of 152 - N of 145 Ave,30,Designated Zone - Playground;,53.61070088,-113.52596980,"(53.61070087655451, -113.52596979817832)",https://drive.google.com/file/d/1YTJzeXZQ_wx51IBaZ0PX1NSEUhelSyr5/view?usp=drivesdk
2606,EB 137 Ave between 79 - 74 St,60,Higher Frequency of Collisions;,53.59958953,-113.45894328,"(53.599589534981966, -113.45894328315708)",https://drive.google.com/file/d/1Qf1QHYHx0OA_3oY_R5cPWq5JPmwhm8DU/view?usp=drivesdk
2757,SB 163 St between 99 - 96A Ave,50,Higher Frequency of Collisions;,53.53571167,-113.60275402,"(53.535711668243394, -113.60275402396736)",https://drive.google.com/file/d/1F99ZwhKcgHgvQwQN5nd_pqcbAB9kknYd/view?usp=drivesdk
4183,NB 106 St Btwn 56 - 60A Ave,30,Designated Zone - Playground;,53.49477751,-113.50440225,"(53.49477751184964, -113.50440225293553)",https://drive.google.com/file/d/1YPk2Ji8sVnmGuHIirkNgLnkILehAB1P5/view?usp=drivesdk
4221,SB 72 St Btwn 149 A - 144 Ave,30,Designated Zone - Playground;,53.60847049,-113.44946476,"(53.608470492093396, -113.44946476336366)",https://drive.google.com/file/d/1tI2pbNQg0hIUGAxbxFDYNrpooin40NoL/view?usp=drivesdk
2669,NB 127 St between 135 - 137 Ave,50,Higher Frequency of Collisions;,53.59790581,-113.54117503,"(53.59790580669622, -113.5411750252549)",https://drive.google.com/file/d/1-m5DfssrD_ac0y_2PBaFpmoRQuf4E4Oc/view?usp=drivesdk
4081,WB 105 Ave btwn 136 - 139 St,30,Designated Zone - Playground;,53.54777224,-113.55885021,"(53.54777223725524, -113.55885020906969)",https://drive.google.com/file/d/1FE3DuqPVVLeHDu_UJFK2gxfQ2UNF92JZ/view?usp=drivesdk
4152,WB 144 Ave E of  87 - 88A St,30,Designated Zone - Playground;,53.60623172,-113.47489940,"(53.60623171754474, -113.47489940104879)",https://drive.google.com/file/d/18z1sU4Z2BNWrxLtMZmOq2r4F4hH8sHxh/view?usp=drivesdk
2570,EB Ellerslie Rd SW between 109 St SW-Calgary Tr,60,Higher Frequency of Collisions;,53.42479329,-113.50188841,"(53.42479328948455, -113.50188840761517)",https://drive.google.com/file/d/1adfOpKYXGXVz4N3eGqtdgdDPbviiMziI/view?usp=drivesdk
4320,WB 64 Ave Btwn 172-177 St,30,Designated Zone - Playground;,53.50026948,-113.62386995,"(53.50026948412953, -113.62386994515339)",https://drive.google.com/file/d/16_zllPLF12mIsxpQIipnC5jvd0ameF_7/view?usp=drivesdk
4042,EB 40 Ave E of Granlea Crescent - 57 St,30,Designated Zone - Playground;,53.47692316,-113.42572435,"(53.47692316022321, -113.42572434540044)",https://drive.google.com/file/d/1LMHbFV9qLjcb9Fc6OdBOvpqnRYreUVso/view?usp=drivesdk
2494,SB 142 St between 106 - 104 Ave,50,Higher Frequency of Speeding;,53.54745783,-113.56575002,"(53.54745783397464, -113.56575002256452)",https://drive.google.com/file/d/1TdhCbYlrS_Gv3cM9wlynnrUPzn1y9nIf/view?usp=drivesdk
2556,NB 122 St between 51 - 62 Ave,60,Higher Frequency of Collisions;,53.49321191,-113.54105489,"(53.49321191084046, -113.5410548893512)",https://drive.google.com/file/d/1_8t9CoFgUAu8NtJfT-fTJTxl6nScL5CO/view?usp=drivesdk
4112,SB 96 St N of 68 - 66 Ave,30,Designated Zone - Playground;,53.50406951,-113.47644314,"(53.5040695083065, -113.47644313586308)",https://drive.google.com/file/d/1kTMHoInYks_Bl6YcspTair4ipuuGItxd/view?usp=drivesdk
4109,NB 65 St btwn 104 - 106 Ave,30,Designated Zone - Playground;,53.54796305,-113.43124335,"(53.54796305009052, -113.43124335033538)",https://drive.google.com/file/d/1S81Ze9PcJs9t1NbUq3WwSx_tOoYgdG_1/view?usp=drivesdk
4293,WB 121 Ave btwn W of 45 St - 48 St,30,Designated Zone - Playground;,53.57507733,-113.41338460,"(53.57507732518708, -113.41338460051745)",https://drive.google.com/file/d/1WD_NgJ6wXf8JIfwLb-swlwsnRLL2osf1/view?usp=drivesdk
4058,NB 88A St btwn 144 - 150 Ave,30,Designated Zone - Playground;,53.60854424,-113.47671715,"(53.60854424432804, -113.4767171498892)",https://drive.google.com/file/d/1c74UOuFQX06PbqoRdRkn-OYopenlOZii/view?usp=drivesdk
4020,SB 80 St btwn Millwoods Rd S - 14 Ave,30,Designated Zone - Playground;,53.44562049,-113.45346263,"(53.445620489924735, -113.45346262597585)",https://drive.google.com/file/d/1Zm4dYkKFhUCkV09chsOCUHV281-gNzU3/view?usp=drivesdk
4060,EB 139 Ave btwn 34 - 30 St,30,Designated Zone - Playground;,53.60302413,-113.39091373,"(53.60302412785953, -113.39091373035869)",https://drive.google.com/file/d/1kKHIb7ASvNqIH4yMXZjlwcYKgQ_RQJOb/view?usp=drivesdk
4211,SB Hemingway Rd S of 59 Ave - Hardy Pt,30,Designated Zone - Playground;,53.49093978,-113.68196271,"(53.49093977974267, -113.68196271487975)",https://drive.google.com/file/d/1nUybIsIGK5vi9nltolVZDBMULgFSDWAn/view?usp=drivesdk
4025,NB Allard Blvd SW btn  Allard Blvd - Alexander Way SW,30,Designated Zone - Playground;,53.40014430,-113.53565381,"(53.40014429880807, -113.53565380757607)",https://drive.google.com/file/d/1qetnBw5hUwy0moglFG8WCUzJu37zeQ4v/view?usp=drivesdk
4194,NB 79 St Btwn 94 - 95 Ave,30,Designated Zone - Playground;,53.53195597,-113.44808665,"(53.53195597179193, -113.4480866455394)",https://drive.google.com/file/d/1xn0-oghI467dBsW71h6_hW61OTF6qF3h/view?usp=drivesdk
2509,WB 118 Ave between 85 - 87 St,50,Higher Frequency of Collisions;,53.57038891,-113.47282618,"(53.570388913927154, -113.47282617535724)",https://drive.google.com/file/d/1AI_La45764NsJu6RyjU4A32--SFXcNpl/view?usp=drivesdk
2675,NB 105 St between Rossdale Rd - 97 Ave,50,Higher Frequency of Collisions;,53.53228830,-113.50108576,"(53.532288299712604, -113.50108576171255)",https://drive.google.com/file/d/1MEC4mwug87OYH1TO_pgRGA9QWD40XlHX/view?usp=drivesdk
2670,EB 118 Ave between 78 St - Wayne Gretzky Dr,50,Higher Frequency of Speeding; Higher Frequency of Collisions;,53.57030734,-113.45724250,"(53.57030733521943, -113.45724250213854)",https://drive.google.com/file/d/1ZcVNUasLfoUWZ4o6jAWCcZTfs0uXwwXE/view?usp=drivesdk
4185,SB 105 St Btwn 20-19 Ave,30,Designated Zone - Playground;,53.44904603,-113.50054363,"(53.449046032488305, -113.50054363180314)",https://drive.google.com/file/d/1hiwSXULht8FGOIkFFdj_ZWuqxXp_cwKF/view?usp=drivesdk
2518,SB 109 St between 110 - 108 Ave,50,Higher Frequency of Speeding; Higher Frequency of Collisions;,53.55486531,-113.50852235,"(53.55486530629586, -113.50852235054917)",https://drive.google.com/file/d/1fHflD9V6m3JFY64cPFP7bliNzynsf-5D/view?usp=drivesdk
4135,NB 142 St N of 80 - 85 Ave,30,Designated Zone - Playground;,53.51636706,-113.56569690,"(53.516367062405294, -113.56569689529613)",https://drive.google.com/file/d/1qOW6k6XUr0vjUrzotTfI9akzSnwm5Hqg/view?usp=drivesdk
4312,NB 139 St btwn Woodcroft Ave - 116 Ave,30,Designated Zone - Playground;,53.56730962,-113.56138398,"(53.56730962327217, -113.56138397900244)",https://drive.google.com/file/d/1CMSKeLZs0AJkbnSD9YdeSX1fq10YtMj3/view?usp=drivesdk
2749,WB 95 Ave between 158 - 160 St,50,Higher Frequency of Speeding;,53.53155624,-113.59557878,"(53.531556239424575, -113.59557877680032)",https://drive.google.com/file/d/1fTeGFFwS_6X6E-rfdxocfP7EkC6ABtKD/view?usp=drivesdk
2753,EB 95 Ave between 170 - 165 St,50,Higher Frequency of Speeding; Higher Frequency of Collisions;,53.53159489,-113.61092032,"(53.53159488945299, -113.61092031729495)",https://drive.google.com/file/d/1HMRa7DR_XQMXFoQtpBdy_IZYZvjffGAR/view?usp=drivesdk
2587,EB 51 Ave between 116 - 114 St,50,Higher Frequency of Speeding;,53.48821440,-113.52787779,"(53.48821439589621, -113.52787778864788)",https://drive.google.com/file/d/1kQXkEtJlHMzaNAr8eHX_yzmpetuHr-73/view?usp=drivesdk
4114,EB 76 Ave btwn 106 - 105 St,30,Designated Zone - Playground;,53.51227347,-113.50245064,"(53.51227346914462, -113.50245064079489)",https://drive.google.com/file/d/1DP4Xg2rE9LrHqdxoSTtw5LJdDDRcAvP8/view?usp=drivesdk
4187,SB 182 St Btwn 87 - N of 84 Ave,30,Designated Zone - Playground;,53.51925172,-113.63696966,"(53.51925172258383, -113.63696966466286)",https://drive.google.com/file/d/1H3jT2mPPaV6ozRZC7vng9UPl9zvhIAob/view?usp=drivesdk
2722,SB 101 St between 108 - 107A Ave,50,Higher Frequency of Speeding; Higher Frequency of Collisions;,53.55228268,-113.49371677,"(53.55228268396267, -113.49371676568481)",https://drive.google.com/file/d/1u6KuqU5Bc6w6KO7fJ6BhyBB-8SmL26qR/view?usp=drivesdk
4197,EB Griesbach Rd between Sir Arthur Currie Way - Griesbach School Rd,30,Designated Zone - Playground;,53.60810333,-113.49790803,"(53.60810333340902, -113.49790802742933)",https://drive.google.com/file/d/144Rk44kuHfgq2H3uV5YOTjmwN5oBmFud/view?usp=drivesdk
4144,NB Millwoods Rd E Btwn 17 -18 Ave,30,Designated Zone - Playground;,53.44809650,-113.40455559,"(53.448096501655215, -113.4045555899863)",https://drive.google.com/file/d/1xwjUHHeZbWJx47S1qnJkm_HhK2STkHVu/view?usp=drivesdk
2480,NB 50 St between Eleniak Rd - 68 Ave,60,Higher Frequency of Collisions;,53.50274883,-113.41811034,"(53.50274883461832, -113.41811034188626)",https://drive.google.com/file/d/1UnN9hAvwSur8wM207d7wkW87uFIBtLRz/view?usp=drivesdk
2506,EB 118 Ave between 56 - 54 St,50,Higher Frequency of Speeding;,53.57036075,-113.42612185,"(53.57036074814561, -113.42612184529563)",https://drive.google.com/file/d/16aBOd_7Hoco26G30paqhrAWH8_5SKRmo/view?usp=drivesdk
4070,SB Mill Woods Rd S of Lakewood  Rd N - 28 Ave,30,Designated Zone - Playground;,53.45993511,-113.44814155,"(53.459935105800724, -113.44814155058936)",https://drive.google.com/file/d/1ab7KvYB9iRaKeER6equ21f0eg80LhXu1/view?usp=drivesdk
4193,EB 40 Ave Btwn 119 - 115 A St,30,Designated Zone - Playground;,53.47627954,-113.53524097,"(53.47627953969195, -113.53524096602916)",https://drive.google.com/file/d/1ma00u18StxI8bnCruBVZFdiUlAT9VzuV/view?usp=drivesdk
4184,NB 105 St Btwn 19-20 Ave,30,Designated Zone - Playground;,53.44904603,-113.50054363,"(53.449046032488305, -113.50054363180314)",https://drive.google.com/file/d/1cJlHI1Nh6A5MRCCIri38p7SQMv1athOv/view?usp=drivesdk
4030,SB Riverbend Rd btwn 56 - 53  Ave,30,Designated Zone - Playground;,53.49209992,-113.57825354,"(53.49209991757685, -113.57825353663972)",https://drive.google.com/file/d/1gdZLnWjw1C3y-PB9hht26ieZrZZSlJg1/view?usp=drivesdk
4217,SB 95 St Btwn 174 - N of 171 Ave,30,Designated Zone - Playground;,53.63515145,-113.48814313,"(53.635151449076076, -113.48814312735722)",https://drive.google.com/file/d/11GmLrmYTmBqK__WghYe0K7g9QouzSSJa/view?usp=drivesdk
4226,EB Kirkness Rd Btwn 31 St - 151 Ave,30,Designated Zone - Playground;,53.61136661,-113.38477337,"(53.6113666107883, -113.3847733718016)",https://drive.google.com/file/d/1mKNVEZtcDwUvVuFBJ0-n6pCw7M23_Wxt/view?usp=drivesdk
7002,SB Whitemud Dr. @ Quesnell Bridge,80,Higher Frequency of Collisions;,53.50545609,-113.56674125,"(53.50545608966579, -113.56674124996565)",https://drive.google.com/file/d/1l9jSa310PH2_QgiH2LbEC2KWfPAufpJc/view?usp=drivesdk
2571,WB Ellerslie Rd SW between Calgary Tr-109 St SW,60,Higher Frequency of Collisions;,53.42493883,-113.50195143,"(53.4249388325714, -113.50195142929952)",https://drive.google.com/file/d/1CySZukP3cqx1hj6pELDJEMoVcgkkYTuE/view?usp=drivesdk
7086,NB Whitemud Dr between 53 Ave - Fox Dr,80,Higher Frequency of Collisions;,53.49785615,-113.57162535,"(53.49785614689638, -113.57162535389669)",https://drive.google.com/file/d/1tje78if77vgjQBZBcV0AE9TLTslFdPcx/view?usp=drivesdk
2701,EB 112 Ave btwn 55 - 53 St,50,Higher Frequency of Speeding;,53.56725996,-113.42460532,"(53.567259956872384, -113.4246053158997)",https://drive.google.com/file/d/12mYD5gv-dlmQJ4-fTygUjTKaFN2Gb-UX/view?usp=drivesdk
4128,SB 156 St Between 84 - North of 81 Ave,30,Designated Zone - Playground;,53.51626415,-113.59034063,"(53.51626415115854, -113.59034063264448)",https://drive.google.com/file/d/1tTaHueUlb9QWeO0XMLbo3fMKqrLV722B/view?usp=drivesdk
2716,NB 97 St between 108 - 110 Ave,50,Higher Frequency of Speeding; Higher Frequency of Collisions;,53.55546299,-113.49091409,"(53.55546298891228, -113.49091409444974)",https://drive.google.com/file/d/13UR90y6iSIsl2gHiBhIum6jEGUxeL6on/view?usp=drivesdk
4216,NB 95 St N of 171 - 174 Ave,30,Designated Zone - Playground;,53.63515145,-113.48814313,"(53.635151449076076, -113.48814312735722)",https://drive.google.com/file/d/1TOE0jfcKQJrzci6W0LFZ5D_c6AHb057s/view?usp=drivesdk
4305,NB Saddleback Rd btwn 114 St - S of 22 Ave,30,Designated Zone - Playground;,53.45120906,-113.52550127,"(53.45120905533573, -113.5255012747545)",https://drive.google.com/file/d/1qKPqesEKjoHSv1Rn8_qYj1fwenE5Z3AX/view?usp=drivesdk
4316,EB 12 Ave btwn Twin Brooks Dr - 113 St,30,Designated Zone - Playground;,53.44339902,-113.52606381,"(53.443399023669244, -113.5260638064582)",https://drive.google.com/file/d/1rvOzyL3EhLIXXAeW7TI2PUgDmrh4gPFN/view?usp=drivesdk
4090,SB 130 St N of 113 - 111 Ave,30,Designated Zone - Playground;,53.56060102,-113.54620872,"(53.56060101939783, -113.54620871667127)",https://drive.google.com/file/d/1-Ylo38O0ivOcgGuyVNR1s-aUZr5jxLTB/view?usp=drivesdk
4181,NB Windermere Rd Btwn Windermere Blvd-Whitelaw Ln,30,Designated Zone - Playground;,53.44112794,-113.61706553,"(53.441127941543115, -113.61706553147725)",https://drive.google.com/file/d/1E3NbdoPgWn2fVczri5TUGfUWfetbO_2x/view?usp=drivesdk
2719,WB 107 Ave between 110 - 113 St,50,Higher Frequency of Speeding; Higher Frequency of Collisions;,53.55140855,-113.51302475,"(53.55140855277801, -113.51302475123666)",https://drive.google.com/file/d/1lswHSpoTcHfvjMl5QPpa_Go5ixABGgwl/view?usp=drivesdk
4299,NB Edwards Dr btwn 6 - 5 Ave SW,30,Designated Zone - Playground;,53.42837161,-113.45901487,"(53.4283716105819, -113.45901487177173)",https://drive.google.com/file/d/13WXGTTXRC-LS4j730e4XKHw_E1sMeG67/view?usp=drivesdk
4153,EB 144 Ave btwn 88A -E of 87 St,30,Designated Zone - Playground;,53.60610710,-113.47484696,"(53.60610709604026, -113.4748469560406)",https://drive.google.com/file/d/150K72n9VOlSl86UAunG0kF1jQFiPWkEe/view?usp=drivesdk
4176,NB 163 St Btwn 103 - 104 Ave,30,Designated Zone - Playground;,53.54563480,-113.60263291,"(53.545634803269266, -113.6026329080284)",https://drive.google.com/file/d/18NA9ICu_zFXMQTjG1GwQvpYtp9JI6uNs/view?usp=drivesdk
4003,EB Delwood Rd btwn 134B Ave - 73 St,30,Designated Zone - Playground;,53.59681869,-113.45765336,"(53.5968186894446, -113.45765336420213)",https://drive.google.com/file/d/1b_uDGlvByIsgE5pGH6_hwswVe7jDc863/view?usp=drivesdk
4055,NB 106 St btwn 36A - 40 Ave,30,Designated Zone - Playground;,53.47360028,-113.50414840,"(53.473600284498154, -113.50414839652174)",https://drive.google.com/file/d/1F_pQ_QKV0v1vTj8vVEvmBvRdH4hmd84A/view?usp=drivesdk
4269,WB 150 Ave W of 89A - 94 St,30,Designated Zone - Playground;,53.61093167,-113.48257532,"(53.61093166574104, -113.48257532398917)",https://drive.google.com/file/d/1drPMtp945Ln_YnzWgkmRr9420JSuy5AM/view?usp=drivesdk
4247,WB 51 Ave Btwn 123 - 124 St,30,Designated Zone - Playground;,53.48814710,-113.54492540,"(53.48814709899406, -113.54492539721905)",https://drive.google.com/file/d/1FIGDDlwYsm3ArnlaGef94sjJZ-mAjDvN/view?usp=drivesdk
4082,EB 105 Ave btwn 139 - 136 St,30,Designated Zone - Playground;,53.54777224,-113.55885021,"(53.54777223725524, -113.55885020906969)",https://drive.google.com/file/d/1DyerkEX15-uV3diXEV24C6EE9ddF57t-/view?usp=drivesdk
2756,WB 82 Ave between 91 - 95A St,50,Higher Frequency of Speeding;,53.51807393,-113.47154945,"(53.51807393497395, -113.47154944892714)",https://drive.google.com/file/d/1GfUjJzciGl5ghDk0M0EFzV1-RFHzUi2M/view?usp=drivesdk
4196,WB Griesbach Rd between Griesbach School Rd - 104 St,30,Designated Zone - Playground;,53.60810333,-113.49790803,"(53.60810333340902, -113.49790802742933)",https://drive.google.com/file/d/1twIgnm7ciYKB3EMBfjYfF8UWX1qxzWJ3/view?usp=drivesdk
4267,WB McQueen Rd Btwn 142 - W of 146 St,30,Designated Zone - Playground;,53.55622253,-113.56883131,"(53.5562225334779, -113.56883131407545)",https://drive.google.com/file/d/1rDwKiW9-8H-S776dSiY8tdu8p-dgQBbf/view?usp=drivesdk
4111,NB 96 St btwn 66 Ave - N of 68 Ave,30,Designated Zone - Playground;,53.50406951,-113.47644314,"(53.5040695083065, -113.47644313586308)",https://drive.google.com/file/d/1BDBaYWxejIA7aSQABp9dNZI2a1-K5hNl/view?usp=drivesdk
4174,WB 144 Ave Btwn 74-76 St,30,Designated Zone - Playground;,53.60697898,-113.45643132,"(53.6069789774502, -113.45643131875264)",https://drive.google.com/file/d/1kyH7dbgyZc_S0vkuzOzDPbXrajzsR3X5/view?usp=drivesdk
2507,WB 118 Ave between 60 - 62 St,50,Higher Frequency of Speeding;,53.57036818,-113.43491676,"(53.57036818470731, -113.43491675747863)",https://drive.google.com/file/d/1_sRUsCDDw540cQeuvAntuHPBBI2ncCdw/view?usp=drivesdk
4116,SB 76 St btwn south of 40 Ave - 38 Ave,30,Designated Zone - Playground;,53.47490073,-113.45032620,"(53.474900731544125, -113.45032619523234)",https://drive.google.com/file/d/1mKp8gaWJLpwalQ8gznWsTcvx0RRLTTOz/view?usp=drivesdk
